,values,eff,size,lowerCI_95%,upperCI_95%,feature
22,20.581608695652175,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
23,22.0434375,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
24,23.625583333333335,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
25,25.284318181818175,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
26,27.265,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
27,29.41808,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
28,31.279275862068967,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
29,33.108875,-0.003537516291193435,109.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
30,35.18000000000001,-0.003537516291193435,106.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
31,37.428612903225805,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
32,39.858374999999995,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
33,42.71533333333334,-0.003537516291193435,109.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
34,46.037499999999994,-0.003537516291193435,106.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
35,49.53068421052632,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
36,53.247666666666674,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
37,57.244090909090914,-0.003537516291193435,106.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
38,61.730875000000005,-0.003537516291193435,108.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
39,66.506,-0.003537516291193435,107.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
40,72.496875,-0.003537516291193435,109.0,-0.003537516291193435,-0.003537516291193435,mean_interlog_time_http_interlog_time
